 Duration(s) Distance(steps)     Force(N)  Amperage(A)
      50.298       70136.000      344.260       29.750
      50.438       70336.000      401.650       28.180
      50.578       70536.000      431.180       27.830
      50.718       70736.000      426.410       28.770
      50.860       70936.000      335.380       29.520
      50.983       71136.000      335.730       27.950
      51.123       71336.000      328.710       27.270
      51.264       71536.000      377.160       28.470
      51.405       71736.000      522.770       28.860
      51.544       71936.000      512.520       27.080
      51.684       72136.000      411.260       26.390
      51.810       72336.000      399.790       28.130
      51.950       72536.000      495.060       28.320
      52.091       72736.000      477.460       26.210
      52.231       72936.000      442.820       25.860
      52.376       73136.000      416.670       27.380
      52.511       73336.000      421.130       27.690
      52.635       73536.000      424.050       26.020
      52.775       73736.000      440.640       25.460
      52.916       73936.000      473.620       27.080
      53.093       74136.000      397.850       27.060
      53.182       74336.000      509.180       25.500
      53.322       74536.000      824.830       25.380
      53.463       74736.000      885.050       26.350
      53.600       74936.000      957.090       26.660
      53.741       75136.000     1010.090       24.890
      53.882       75336.000     1141.730       24.770
      54.023       75536.000     1297.270       25.850
      54.152       75736.000     1592.590       26.280
      54.289       75936.000     1397.030       24.390
      54.426       76136.000     1210.370       24.050
      54.566       76336.000     1306.200       25.690
      54.708       76536.000     1301.720       25.790
      54.847       76736.000     1266.370       23.360
      54.973       76936.000     1252.870       23.460
      55.114       77136.000     1251.580       25.320
      55.253       77336.000     1676.310       24.980
      55.396       77536.000     1918.600       22.880
      55.571       77736.000     2453.010       22.880
      55.660       77936.000     3003.530       24.850
      55.800       78136.000     3284.410       24.180
      56.223       78336.000     3906.230       22.630
      56.257       78536.000     4183.080       21.870
      56.289       78736.000     4800.000       24.620
      56.426       78936.000     5139.080       23.840
